id	language	domain	evidence_level	year	title	source_type	url
E01	English	long-form evaluation	A1	2025	What Matters in Evaluating Book-Length Stories? A Systematic Study of Long Story Evaluation	peer-reviewed ACL paper	https://aclanthology.org/2025.acl-long.799/
E02	English	creative-writing evaluation	A1	2026	LitBench: A Benchmark and Dataset for Reliable Evaluation of Creative Writing	peer-reviewed EACL paper	https://aclanthology.org/2026.eacl-long.362/
E03	English	long-form generation	A1	2022	Re3: Generating Longer Stories With Recursive Reprompting and Revision	peer-reviewed EMNLP paper	https://aclanthology.org/2022.emnlp-main.296/
E04	English	outline and coherence	A1	2023	DOC: Improving Long Story Coherence With Detailed Outline Control	peer-reviewed ACL paper	https://aclanthology.org/2023.acl-long.190/
E05	English	multi-critic review	A1	2024	Collective Critics for Creative Story Generation	peer-reviewed EMNLP paper	https://aclanthology.org/2024.emnlp-main.1046/
E06	English	human-in-the-loop evaluation	A1	2020	STORIUM: A Dataset and Evaluation Platform for Machine-in-the-Loop Story Generation	peer-reviewed EMNLP paper	https://aclanthology.org/2020.emnlp-main.525/
E07	English	human-AI workflow	A1	2019	Plan, Write, and Revise: an Interactive System for Open-Domain Story Generation	peer-reviewed NAACL paper	https://aclanthology.org/N19-4016/
E08	English	Chinese creative-writing data	A2	2025	COIG-Writer: A High-Quality Dataset for Chinese Creative Writing with Thought Processes	preprint	https://arxiv.org/abs/2510.14763
E09	English	creative-writing research	A1	2025	In2Writing 2025 Proceedings	peer-reviewed workshop proceedings	https://aclanthology.org/2025.in2writing-1.pdf
E10	English	writing-mode control	A1	2023	Fiction-Writing Mode: An Effective Control for Human-Machine Collaborative Writing	peer-reviewed EACL paper	https://aclanthology.org/2023.eacl-main.128/
E11	English	plot and character planning	A1	2010	Narrative Planning: Balancing Plot and Character	peer-reviewed JAIR paper	https://doi.org/10.1613/jair.2989
E12	English	story structure	A1	2019	Strategies for Structuring Story Generation	peer-reviewed ACL paper	https://doi.org/10.18653/v1/P19-1254
E13	English	character intention	A1	2004	An Intent-Driven Planner for Multi-Agent Story Generation	peer-reviewed conference paper	https://doi.org/10.1109/AAMAS.2004.63
E14	English	local coherence	A1	2008	Modeling Local Coherence: An Entity-Based Approach	peer-reviewed Computational Linguistics paper	https://doi.org/10.1162/coli.2008.34.1.1
E15	English	plot graphs	A1	2013	Story Generation with Crowdsourced Plot Graphs	peer-reviewed AAAI paper	https://doi.org/10.1609/aaai.v27i1.8649
E16	English	controllable generation	A1	2018	Towards Controllable Story Generation	peer-reviewed ACL workshop paper	https://doi.org/10.18653/v1/W18-1505
E17	English	scene generation	A1	2023	SceneCraft: Automating Interactive Narrative Scene Generation in Digital Games with Large Language Models	peer-reviewed AIIDE paper	https://doi.org/10.1609/aiide.v19i1.27504
E18	English	visual narrative structure	A1	2012	Visual Narrative Structure	peer-reviewed Cognitive Science paper	https://doi.org/10.1111/cogs.12016
E19	English	character-centered planning	A1	2003	Character-Focused Narrative Generation for Execution in Virtual Worlds	peer-reviewed conference paper	https://doi.org/10.1007/978-3-540-40014-1_6
E20	English	discourse comprehension	A1	2014	Cognitive Models of Discourse Comprehension for Narrative Generation	peer-reviewed Digital Scholarship paper	https://doi.org/10.1093/llc/fqu056
E21	English	constraint trajectories	A1	2009	Controlling Narrative Generation with Planning Trajectories: The Role of Constraints	peer-reviewed conference paper	https://doi.org/10.1007/978-3-642-10643-9_28
E22	English	suspense generation	A1	2006	Narrative Generation for Suspense: Modeling and Evaluation	peer-reviewed conference paper	https://doi.org/10.1007/978-3-540-89454-4_21
E23	English	character point of view	A1	2010	Narrative Generation Through Characters' Point of View	peer-reviewed conference paper	https://openalex.org/W2167687611
E24	English	surprise	A1	2013	A Computational Model of Narrative Generation for Surprise Arousal	peer-reviewed IEEE paper	https://doi.org/10.1109/TCIAIG.2013.2290330
E25	English	collaborative generation	A1	2015	A Computer-Based Model for Collaborative Narrative Generation	peer-reviewed Cognitive Systems Research paper	https://doi.org/10.1016/j.cogsys.2015.06.002
E26	English	character relationships	A1	2013	NetworkING: Using Character Relationships for Interactive Narrative Generation	peer-reviewed conference paper	https://openalex.org/W27430671
E27	English	intent-based planning	A1	2013	Efficient Intent-Based Narrative Generation Using Multiple Planning Agents	peer-reviewed conference paper	https://openalex.org/W83614081
E28	English	crowd-authored narrative	A1	2015	Scheherazade: Crowd-Powered Interactive Narrative Generation	peer-reviewed AAAI paper	https://doi.org/10.1609/aaai.v29i1.9782
E29	English	voice and focalization	A1	2023	How Literary Text Reading Is Influenced by Narrative Voice and Focalization: Evidence from Eye Movements	peer-reviewed Discourse Processes paper	https://doi.org/10.1080/0163853X.2023.2260247
E30	English	voice and empathy	A1	2026	First- or Third-Person: The Impact of Narrative Voice and Reception Mode on Empathy, Identification, and Parasocial Interaction in Literary Engagement	peer-reviewed empirical paper	https://doi.org/10.1177/02762374261451144
E31	English	first-person voice	A1	2004	The Impersonal Voice in First-Person Narrative Fiction	peer-reviewed Narrative paper	https://doi.org/10.1353/nar.2004.0002
E32	English	focalization and empathy	A2	2010	Character-Focused Narration	academic book chapter	https://academic.oup.com/book/40065/chapter-abstract/340735356
E33	English	narrative time	A1	2016	Dramatized Analepsis and Fadings in Verbal Narratives	peer-reviewed Narrative paper	https://doi.org/10.1353/nar.2016.0019
E34	English	suspense and absorption	A1	2017	The Effect of Suspense Structure on Felt Suspense and Narrative Absorption in Literature and Film	peer-reviewed book chapter	https://doi.org/10.1075/lal.27.10bal
E35	English	uncertainty and suspense	A1	2018	Confronting a Paradox: A New Perspective of the Impact of Uncertainty in Suspense	peer-reviewed Frontiers paper	https://doi.org/10.3389/fpsyg.2018.01392
E36	English	reader prediction	A1	2015	Reading a Suspenseful Literary Text Activates Brain Areas Related to Social Cognition and Predictive Inference	peer-reviewed PLOS ONE paper	https://doi.org/10.1371/journal.pone.0124550
E37	English	repeated suspense	A1	2020	Re-Living Suspense: Emotional and Cognitive Responses During Repeated Exposure to Suspenseful Film	peer-reviewed Frontiers paper	https://doi.org/10.3389/fpsyg.2020.558234
E38	English	suspense craft	A2	2009	Creating Suspense and Surprise in Short Literary Fiction: A Stylistic and Narratological Approach	dissertation	https://openalex.org/W86212467
E39	English	narrative empathy	A1	2004	Empathic Engagement with Narrative Fictions	peer-reviewed philosophy paper	https://doi.org/10.1111/j.1540-594X.2004.00147.x
E40	English	reader response	A1	2020	Textual and Reader Factors in Narrative Empathy: An Empirical Reader Response Study Using Focus Groups	peer-reviewed Language and Literature paper	https://doi.org/10.1177/0963947020927134
E41	English	identity and empathy	A1	2019	Memory of the Present: Empathy and Identity in Young Adult Fiction	peer-reviewed paper	https://doi.org/10.7202/1062101ar
E42	English	character embodiment	A1	2019	Acting Oneself as Another: An Actor's Empathy for Her Character	peer-reviewed paper	https://doi.org/10.1007/s11245-018-9624-7
E43	English	mental imagery	A1	2018	Mental Imagery and Fiction	peer-reviewed philosophy paper	https://doi.org/10.1080/00455091.2018.1442965
E44	English	story cognition	A1	2017	The Evolution of Stories: From Mimesis to Language, from Fact to Fiction	peer-reviewed review	https://doi.org/10.1002/wcs.1444
E45	English	literary reception	A1	2015	Neurocognitive Poetics: Methods and Models for Investigating the Cognitive-Affective Bases of Literature Reception	peer-reviewed Frontiers paper	https://doi.org/10.3389/fnhum.2015.00186
E46	English	literary engagement	A1	2017	The Fictive Brain: Neurocognitive Correlates of Engagement in Literature	peer-reviewed review	https://doi.org/10.1037/gpr0000106
E47	English	imagery and style	A1	2020	Eye Movements and Mental Imagery During Reading of Literary Texts with Different Narrative Styles	peer-reviewed eye-tracking paper	https://doi.org/10.16910/jemr.13.3.3
E48	English	transformative reading	A1	2019	What Is Literature For? The Role of Transformative Reading	peer-reviewed paper	https://doi.org/10.1080/23311983.2019.1692532
E49	English	computational style	A2	2022	Computational Stylistics in Poetry, Prose, and Drama	academic book	https://doi.org/10.1515/9783110781502
E50	English	fiction craft	A2	1982	Writing Fiction: A Guide to Narrative Craft	professional craft text metadata	https://openalex.org/W1480494712
E51	English	writing development	A1	2008	Training Writing Skills: A Cognitive Developmental Perspective	peer-reviewed Journal of Writing Research paper	https://doi.org/10.17239/jowr-2008.01.01.1
E52	English	interactive-fiction pedagogy	A2	2018	Serious Interactive Fiction: Constraints, Interfaces, and Creative Writing Pedagogy	university journal article	https://scholarworks.rit.edu/jcws/vol3/iss1/10
E53	English	revision craft	A1	2007	Tools to Shape Texts: What Creative Nonfiction Can Offer Ethnography	peer-reviewed paper	https://doi.org/10.1525/ahu.2007.32.2.130
